"time","ankle_moment","knee_moment","hip_moment","ankle_fx","ankle_fy","knee_fx","knee_fy","hip_fx","hip_fy"
13.2866666667,23.7748490879,9.1738449659,-13.8425465675,3.2481971875,35.6428304369,-25.506487925,40.3154171028,-207.1439576628,46.7890197756
13.2933333333,17.0719243517,17.1227025457,40.032202135,19.2636709375,29.3020575181,44.57307991,51.1667431426,15.3121454317,207.2538875698
13.3,12.732230185,11.0936904147,32.705573918,12.4360278125,26.8190760369,38.2981424113,42.76017215,60.6515931256,62.2758522038
13.3066666667,21.5816909124,9.2377653397,5.1143515205,0.309568125,25.445445515,-27.675526875,50.8554539941,-59.2066042352,213.3636229963
13.3133333333,13.5162175155,-1.547432494,-6.2892665476,-5.3558403125,29.6370775744,-27.8675171488,46.5165294701,-44.6580525627,115.1009099868
13.32,16.4399467863,21.3020684999,52.331211342,27.7663375,37.2996600681,68.6875426638,52.5626617821,57.5096337078,123.4384899627
13.3266666667,17.231631211,2.3100114503,-4.7624307572,-4.588413125,28.2617582775,-29.6405146963,46.915620669,-85.1110654304,167.5894830162
13.3333333333,9.5366513433,0.7780685264,8.1488602834,-0.3777184375,24.8117532056,-5.1375166788,58.7247995914,-19.2199775806,157.9617902902
13.34,0.930035916,1.6468980272,1.1222800173,8.4235303125,6.3879717556,7.0056188325,21.4307463192,-41.5834873155,79.560160149
13.3466666667,9.2438948296,4.2225055394,5.0697748694,3.3255021875,24.4683973306,-0.9694325313,36.3358741846,-34.5505033593,131.5614111527
13.3533333333,16.7506072215,0.4726825451,-1.1782058294,-5.5138215625,31.0046344775,-27.4805664099,56.1957373246,-66.3807311438,149.2372974178
13.36,14.0918373419,16.8326832864,42.6713522147,12.2321309375,38.3912764494,53.3616695862,59.8381290583,18.7319300442,104.8215455149
13.3666666667,12.5117361694,-0.8185863371,-10.3763295516,2.2457934375,38.0032686119,-26.5726355025,50.5025089855,-71.6724917986,109.1830065097
13.3733333333,16.307333696,8.5648308937,15.5446077638,5.5938215625,36.077551715,0.24089478,61.8222930249,-52.6920196979,155.3107801005
13.38,13.008530375,3.6769065737,10.5915576254,3.6255021875,42.3373445337,0.3162647038,70.9778435488,-48.9806336462,145.6359806937
13.3866666667,9.2778478978,0.8739958127,-2.4867727206,1.92769,35.5013977119,-10.0367154763,56.300084426,-74.3179771663,120.0568013414
13.3933333333,7.2351685383,-2.7708762685,4.2349779272,1.7427603125,46.5769670619,-4.1550984587,74.8151803362,-44.3737924787,144.2093792886
13.4,6.623745893,0.9315059359,12.5632143832,3.5462253125,35.8709540025,6.85624016,54.3321856568,-4.345340776,97.4890721366
13.4066666667,7.9924187756,-14.8939881184,-38.4896673048,-15.3709575,35.4214433587,-68.76029985,83.2443257415,-166.305427836,191.3074141833
13.4133333333,11.7539635724,21.0599083082,61.0429526071,17.04028125,37.3195026806,58.2576620025,69.643539825,112.1895340365,127.1357039532
13.42,9.9746236994,2.5934769217,-14.8807241302,-0.6869953125,32.4401412744,-15.04801323,37.3706572325,-167.230438254,53.0770422647
13.4266666667,10.2333932808,-1.5077381487,-7.1417072079,-0.217164375,45.8439408587,-34.1801866125,96.6719560262,-118.0831525245,177.0935101418
13.4333333333,9.2120457365,4.6564284619,21.3346451166,-1.6685821875,44.2441529525,3.709220235,69.227621942,50.7833196629,131.0039410106
13.44,8.2616565638,9.8516291096,14.5944388223,8.55259125,37.8383181744,5.5480803563,63.968787377,-67.4207979937,139.3321128062
13.4466666667,6.3846699348,-9.0938178106,-7.7995969445,-16.1383846875,49.3769040462,-35.9090769413,102.0390001509,-57.5073914932,119.1212006607
13.4533333333,0.6904783824,-7.6432357825,-14.365159891,-4.7874740625,24.3658458744,-36.00173808,83.3664649393,-115.4141293861,219.6155432473
13.46,13.7223790365,8.1825735719,16.7266714179,-5.1378121875,59.6678975119,-13.7447836275,95.635298627,-10.7195045835,83.1225530211
13.4666666667,1.1946714643,-9.9150732154,-8.0282606277,-16.6303096875,36.7679310212,-39.1015636087,96.1878056775,-96.8422572246,259.3639979552
13.4733333333,3.8082678319,-8.7445215072,-13.2250618712,-16.4388165625,54.8046080338,-51.9651173013,115.9377457531,-78.6647435433,150.3281878795
13.48,12.5344960444,1.4870446933,14.7554311222,-15.740713125,54.2875789087,-35.6404477612,101.3494299539,-22.8765161453,204.1199371073
13.4866666667,11.6781051414,-3.206247999,-14.0389453382,-22.17951125,46.7697684119,-66.8180698663,101.6516344783,-91.7849071722,179.9954989093
13.4933333333,10.7598185148,-7.5803436583,-9.8605441794,-34.980421875,55.0500164713,-71.0524319662,111.1922690274,-58.0943901141,199.8485948256
13.5,4.1520298694,-8.6854361808,25.9271951865,-29.4630415625,34.9033821869,-28.9997327675,88.5923213899,55.0499994203,230.4985294783
13.5066666667,5.2111046023,-13.1458833117,-11.157457575,-28.741670625,33.006463415,-74.7514988962,97.5027176996,-38.8292692462,220.3167637586
13.5133333333,-1.5155725157,-22.8755208093,-17.4621870276,-37.3907784375,6.2716179556,-65.0004067462,61.1408518611,-19.1690862682,208.6095018099
13.52,4.7843054301,-10.100332759,22.0400498607,-32.46085375,22.3729652244,-42.103273705,86.2646870416,43.385714867,291.8373954994
13.5266666667,2.3951278843,-19.3500463383,-6.8111936307,-36.23181125,28.7784844775,-61.40595893,48.6396471882,40.970620174,122.6543799168
13.5333333333,-6.6481738402,-32.869942503,-21.3851149211,-44.9296703125,23.15914044,-71.3701435412,45.4931127867,12.2890009768,210.9025196577
13.54,-5.3474918358,-36.1887765386,-54.1771122228,-47.8336609375,21.4833182619,-89.8291828038,8.1674745436,-27.9151191137,38.0458005623
13.5466666667,-1.6495018695,-29.0554889732,-25.5938472083,-45.8382525,18.2199188931,-82.1356980787,51.1878930734,-38.6218644428,245.256255971
13.5533333333,-4.072063798,-24.5292549648,-20.8722810976,-33.6715953125,20.9425707025,-68.8387539987,53.6613531591,-24.5934561807,220.1478351202
13.56,3.2635282278,-15.1471386906,-2.2283809525,-31.1139521875,20.906783565,-53.3146835238,51.920760676,-11.8011321978,168.0304285594
13.5666666667,5.3206840513,-14.2610311112,7.0407455647,-33.86892875,11.7740484525,-52.3429782688,44.419471092,84.0762752732,224.7228143395
13.5733333333,-1.4512807972,-21.2908656634,-16.0954905052,-30.4822715625,-1.601049835,-54.2532776737,28.6833169812,8.2218119424,161.4135554622
13.58,-0.2667860787,-21.6013705839,-34.4334069241,-27.755229375,0.8793465369,-68.091079635,18.7155544152,-38.098680975,109.0289188134
13.5866666667,1.0368410269,-19.1249706908,-34.5684935138,-25.331191875,4.3166317119,-66.9411413213,15.9413378668,-35.4361031393,93.2886119398
13.5933333333,-5.3910870922,-57.5176146798,-138.7639553306,-9.499370625,-413.4770486037,-44.6572009462,-385.9948371235,-47.6848471883,-340.0998127172
13.6,-6.0587549105,24.2342247889,52.2493441604,36.2999615625,28.6321518744,48.7471099274,129.3148675152,4.4521009515,181.6874925288
13.6066666667,1.1234895978,30.6107689656,25.38568642,76.15565125,-343.2245617412,129.4283890375,-217.3832379218,17.7037450316,-77.2628440046
13.6133333333,9.1871538513,13.4925181997,2.0058655438,1.93923,26.5686899525,-26.1725752912,78.9974758749,-186.0460266174,346.9742580087
